series,date,type,value
abs,2015-01-01,e0,1176941.187
abs,2015-01-01,e1,635099.434
abs,2015-01-01,e1.1.01,138567.625
abs,2015-01-01,e1.1.02,12627.424
abs,2015-01-01,e1.1.03,20006.653
abs,2015-01-01,e1.1.04,99383.082
abs,2015-01-01,e1.1.05,34319.474
abs,2015-01-01,e1.1.06,17298.901
abs,2015-01-01,e1.1.07,85253.545
abs,2015-01-01,e1.1.08,49379.516
abs,2015-01-01,e1.1.09,43275.996
abs,2015-01-01,e1.1.10,14092.153
abs,2015-01-01,e1.1.11,66155.191
abs,2015-01-01,e1.1.12,81549.79
abs,2015-01-01,e1.1.13,41318.532
abs,2015-01-01,e1.1.14,68674.899
abs,2015-01-01,e1.1.15,546.451
abs,2015-01-01,e2,154021.124
abs,2015-01-01,e2.01,28617.085
abs,2015-01-01,e2.02,16811.88
abs,2015-01-01,e2.03,14172.97
abs,2015-01-01,e2.04,15652.388
abs,2015-01-01,e2.05,556.738
abs,2015-01-01,e2.06,1890.344
abs,2015-01-01,e2.07,23786.697
abs,2015-01-01,e2.08,3108.081
abs,2015-01-01,e2.09,47983.295
abs,2015-01-01,e2.10,1441.646
abs,2015-01-01,e3,304423.412
abs,2015-01-01,e3.1,304423.412
abs,2015-01-01,e3.1.1,174239.941
abs,2015-01-01,e3.1.2,102398.989
abs,2015-01-01,e3.1.3,27784.482
abs,2015-01-01,e3.2,304423.412
abs,2015-01-01,e3.2.1,106273.894
abs,2015-01-01,e3.2.2,198149.518
abs,2015-01-01,e4,-5194.786
abs,2015-01-01,e5,817370.247
abs,2015-01-01,e5.1,681274.791
abs,2015-01-01,e5.2,136095.456
abs,2015-01-01,e6,728778.243
abs,2015-01-01,e6.1,572051.197
abs,2015-01-01,e6.2,156727.046
abs,2016-01-01,e0,1229312.497
abs,2016-01-01,e1,672260.281
abs,2016-01-01,e1.1.01,147710.719
abs,2016-01-01,e1.1.02,11745.263
abs,2016-01-01,e1.1.03,22075.151
abs,2016-01-01,e1.1.04,105777.623
abs,2016-01-01,e1.1.05,36074.872
abs,2016-01-01,e1.1.06,18304.302
abs,2016-01-01,e1.1.07,90849.843
abs,2016-01-01,e1.1.08,54288.864
abs,2016-01-01,e1.1.09,45174.065
abs,2016-01-01,e1.1.10,14834.911
abs,2016-01-01,e1.1.11,70745.14
abs,2016-01-01,e1.1.12,85256.214
abs,2016-01-01,e1.1.13,42148.696
abs,2016-01-01,e1.1.14,73287.629
abs,2016-01-01,e1.1.15,562.247
abs,2016-01-01,e2,155639.602
abs,2016-01-01,e2.01,29447.739
abs,2016-01-01,e2.02,16824.575
abs,2016-01-01,e2.03,13769.77
abs,2016-01-01,e2.04,15582.919
abs,2016-01-01,e2.05,573.922
abs,2016-01-01,e2.06,2567.189
abs,2016-01-01,e2.07,23727.79
abs,2016-01-01,e2.08,3061.89
abs,2016-01-01,e2.09,48557.534
abs,2016-01-01,e2.10,1526.274
abs,2016-01-01,e3,312190.085
abs,2016-01-01,e3.1,312190.08400000003
abs,2016-01-01,e3.1.1,182203.376
abs,2016-01-01,e3.1.2,103405.487
abs,2016-01-01,e3.1.3,26581.221
abs,2016-01-01,e3.2,312190.085
abs,2016-01-01,e3.2.1,105212.873
abs,2016-01-01,e3.2.2,206977.212
abs,2016-01-01,e4,297.253
abs,2016-01-01,e5,828155.275
abs,2016-01-01,e5.1,685228.468
abs,2016-01-01,e5.2,142926.807
abs,2016-01-01,e6,739229.999
abs,2016-01-01,e6.1,578718.73
abs,2016-01-01,e6.2,160511.269
abs,2017-01-01,e0,1300769.02
abs,2017-01-01,e1,718701.809
abs,2017-01-01,e1.1.01,158811.12
abs,2017-01-01,e1.1.02,11946.354
abs,2017-01-01,e1.1.03,24725.578
abs,2017-01-01,e1.1.04,110968.662
abs,2017-01-01,e1.1.05,38312.686
abs,2017-01-01,e1.1.06,19409.246
abs,2017-01-01,e1.1.07,94983.875
abs,2017-01-01,e1.1.08,59909.756
abs,2017-01-01,e1.1.09,47718.013
abs,2017-01-01,e1.1.10,15722.723
abs,2017-01-01,e1.1.11,76088.58
abs,2017-01-01,e1.1.12,90063.065
abs,2017-01-01,e1.1.13,45335.753
abs,2017-01-01,e1.1.14,75868.022
abs,2017-01-01,e1.1.15,574.42
abs,2017-01-01,e2,164449.591
abs,2017-01-01,e2.01,29798.839
abs,2017-01-01,e2.02,16049.263
abs,2017-01-01,e2.03,14304.453
