date,division,index
2010-01-01,overall,99.3
2010-02-01,overall,99.3
2010-03-01,overall,99.3
2010-04-01,overall,99.3
2010-05-01,overall,99.5
2010-06-01,overall,99.7
2010-07-01,overall,100.0
2010-08-01,overall,100.3
2010-09-01,overall,100.4
2010-10-01,overall,100.6
2010-11-01,overall,100.9
2010-12-01,overall,101.3
2011-01-01,overall,102.0
2011-02-01,overall,102.5
2011-03-01,overall,102.6
2011-04-01,overall,102.8
2011-05-01,overall,103.0
2011-06-01,overall,103.4
2011-07-01,overall,103.6
2011-08-01,overall,103.7
2011-09-01,overall,103.9
2011-10-01,overall,104.2
2011-11-01,overall,104.3
2011-12-01,overall,104.4
2012-01-01,overall,104.8
2012-02-01,overall,104.6
2012-03-01,overall,104.6
2012-04-01,overall,104.5
2012-05-01,overall,104.9
2012-06-01,overall,105.1
2012-07-01,overall,105.1
2012-08-01,overall,105.3
2012-09-01,overall,105.4
2012-10-01,overall,105.6
2012-11-01,overall,105.7
2012-12-01,overall,105.7
2013-01-01,overall,106.3
2013-02-01,overall,106.5
2013-03-01,overall,106.6
2013-04-01,overall,106.6
2013-05-01,overall,107.0
2013-06-01,overall,107.1
2013-07-01,overall,107.4
2013-08-01,overall,107.5
2013-09-01,overall,108.4
2013-10-01,overall,108.8
2013-11-01,overall,109.1
2013-12-01,overall,109.5
2014-01-01,overall,110.0
2014-02-01,overall,110.4
2014-03-01,overall,110.4
2014-04-01,overall,110.4
2014-05-01,overall,110.5
2014-06-01,overall,110.7
2014-07-01,overall,110.9
2014-08-01,overall,111.1
2014-09-01,overall,111.3
2014-10-01,overall,111.8
2014-11-01,overall,112.4
2014-12-01,overall,112.4
2015-01-01,overall,111.5
2015-02-01,overall,110.8
2015-03-01,overall,111.6
2015-04-01,overall,112.7
2015-05-01,overall,113.1
2015-06-01,overall,113.7
2015-07-01,overall,114.6
2015-08-01,overall,114.7
2015-09-01,overall,114.4
2015-10-01,overall,114.9
2015-11-01,overall,115.6
2015-12-01,overall,115.7
2016-01-01,overall,115.5
2016-02-01,overall,115.6
2016-03-01,overall,115.0
2016-04-01,overall,115.4
2016-05-01,overall,115.7
2016-06-01,overall,115.9
2016-07-01,overall,116.3
2016-08-01,overall,116.6
2016-09-01,overall,116.4
2016-10-01,overall,116.5
2016-11-01,overall,117.6
2016-12-01,overall,117.8
2017-01-01,overall,119.0
2017-02-01,overall,120.4
2017-03-01,overall,120.1
2017-04-01,overall,119.9
2017-05-01,overall,119.8
2017-06-01,overall,119.7
2017-07-01,overall,119.7
2017-08-01,overall,120.7
2017-09-01,overall,120.9
2017-10-01,overall,120.7
2017-11-01,overall,121.4
2017-12-01,overall,121.7
2018-01-01,overall,122.2
